ticker,name
BTC-USD,Bitcoin
ETH-USD,Ethereum
USDT-USD,Tether
XRP-USD,XRP
SOL-USD,Solana
BNB-USD,BNB
USDC-USD,USDC
DOGE-USD,Dogecoin
ADA-USD,Cardano
STETH-USD,Lido Staked Ether
TRX-USD,TRON
WBTC-USD,Wrapped Bitcoin
LINK-USD,Chainlink
WSTETH-USD,Wrapped stETH
AVAX-USD,Avalanche
XLM-USD,Stellar
SUI-USD,Sui
TON-USD,Toncoin
HBAR-USD,Hedera
LEO-USD,LEO Token
SHIB-USD,Shiba Inu
USDS-USD,USDS
BGB-USD,Bitget Token
LTC-USD,Litecoin
HYPE-USD,Hyperliquid
WETH-USD,WETH
DOT-USD,Polkadot
BCH-USD,Bitcoin Cash
USDE-USD,Ethena USDe
OM-USD,MANTRA
UNI-USD,Uniswap
WEETH-USD,Wrapped eETH
ONDO-USD,Ondo
WBT-USD,WhiteBIT Coin
PEPE-USD,Pepe
NEAR-USD,NEAR Protocol
XMR-USD,Monero
AAVE-USD,Aave
MNT-USD,Mantle
DAI-USD,Dai
TRUMP-USD,Official Trump
APT-USD,Aptos
ICP-USD,Internet Computer
SUSDS-USD,sUSDS
ETC-USD,Ethereum Classic
OKB-USD,OKB
VET-USD,VeChain
TAO-USD,Bittensor
GT-USD,Gate
CRO-USD,Cronos
POL-USD,POL (ex-MATIC)
CBBTC-USD,Coinbase Wrapped BTC
ALGO-USD,Algorand
KAS-USD,Kaspa
RENDER-USD,Render
TKX-USD,Tokenize Xchange
JUP-USD,Jupiter
FIL-USD,Filecoin
FET-USD,Artificial Superintelligence Alliance
ATOM-USD,Cosmos Hub
ARB-USD,Arbitrum
LBTC-USD,Lombard Staked BTC
FDUSD-USD,First Digital USD
FTN-USD,Fasttoken
WETH-USD,Binance-Peg WETH
ENA-USD,Ethena
BNSOL-USD,Binance Staked SOL
RSETH-USD,Kelp DAO Restaked ETH
SOLVBTC-USD,Solv Protocol SolvBTC
KCS-USD,KuCoin
TIA-USD,Celestia
RAY-USD,Raydium
LDO-USD,Lido DAO
XDC-USD,XDC Network
OP-USD,Optimism
IMX-USD,Immutable
FLR-USD,Flare
INJ-USD,Injective
MOVE-USD,Movement
RETH-USD,Rocket Pool ETH
STX-USD,Stacks
S-USD,Sonic (prev. FTM)
THETA-USD,Theta Network
NEXO-USD,NEXO
BONK-USD,Bonk
QNT-USD,Quant
METH-USD,Mantle Staked Ether
GRT-USD,The Graph
WLD-USD,Worldcoin
USD0-USD,Usual USD
DEXE-USD,DeXe
JASMY-USD,JasmyCoin
SOLVBTC.BBN-USD,Solv Protocol SolvBTC.BBN
MSOL-USD,Marinade Staked SOL
SEI-USD,Sei
GALA-USD,GALA
SAND-USD,The Sandbox
XCN-USD,Onyxcoin
EOS-USD,EOS
BERA-USD,Berachain
XTZ-USD,Tezos
FLOKI-USD,FLOKI
ENS-USD,Ethereum Name Service
BTT-USD,BitTorrent
IOTA-USD,IOTA
MKR-USD,Maker
WBTC-USD,Arbitrum Bridged WBTC (Arbitrum One)
ULTIMA-USD,Ultima
BSV-USD,Bitcoin SV
JUPSOL-USD,Jupiter Staked SOL
VIRTUAL-USD,Virtuals Protocol
KAIA-USD,Kaia
FLOW-USD,Flow
NEO-USD,NEO
JTO-USD,Jito
USDD-USD,USDD
EZETH-USD,Renzo Restaked ETH
WIF-USD,dogwifhat
XAUT-USD,Tether Gold
WBNB-USD,Wrapped BNB
AERO-USD,Aerodrome Finance
PENGU-USD,Pudgy Penguins
PYTH-USD,Pyth Network
RON-USD,Ronin
AXS-USD,Axie Infinity
CMETH-USD,Mantle Restaked ETH
FRAX-USD,Frax
DOGE-USD,Binance-Peg Dogecoin
CRV-USD,Curve DAO
USDX-USD,usdx.money USDX
AR-USD,Arweave
EGLD-USD,MultiversX
WETH-USD,L2 Standard Bridged WETH (Base)
MANA-USD,Decentraland
STRK-USD,Starknet
PAXG-USD,PAX Gold
MEOW-USD,MEOW
HNT-USD,Helium
PYUSD-USD,PayPal USD
SPX-USD,SPX6900
EETH-USD,ether.fi Staked ETH
CHEX-USD,CHEX Token
WETH-USD,Arbitrum Bridged WETH (Arbitrum One)
MATIC-USD,Polygon
USR-USD,Resolv USR
PENDLE-USD,Pendle
CFX-USD,Conflux
PUMPBTC-USD,pumpBTC
BDX-USD,Beldex
DYDX-USD,dYdX
CHZ-USD,Chiliz
KAVA-USD,Kava
BEAM-USD,Beam
BTC.B-USD,Avalanche Bridged BTC (Avalanche)
TEL-USD,Telcoin
XEC-USD,eCash
AIOZ-USD,AIOZ Network
TUSD-USD,TrueUSD
CORE-USD,Core
ZEC-USD,Zcash
INSURANCE-USD,INSURANCE
AKT-USD,Akash Network
APE-USD,ApeCoin
AMP-USD,Amp
CLBTC-USD,clBTC
W-USD,Wormhole
FARTCOIN-USD,Fartcoin
RSR-USD,Reserve Rights
TBTC-USD,tBTC
BRETT-USD,Brett
GNO-USD,Gnosis
DEEP-USD,DeepBook
QAI-USD,QuantixAI
NFT-USD,APENFT
COMP-USD,Compound
RUNE-USD,THORChain
BERASTONE-USD,StakeStone Berachain Vault Token
SUPEROETHB-USD,Super OETH
CAKE-USD,PancakeSwap
USDC.E-USD,Bridged USDC (Polygon PoS Bridge)
CBETH-USD,Coinbase Wrapped Staked ETH
EIGEN-USD,Eigenlayer
MINA-USD,Mina Protocol
OHM-USD,Olympus
MORPHO-USD,Morpho
USDB-USD,USDB
USYC-USD,Hashnote USYC
MWC-USD,MimbleWimbleCoin
ZK-USD,ZKsync
AI16Z-USD,ai16z
WETH-USD,Polygon PoS Bridged WETH (Polygon POS)
PRIME-USD,Echelon Prime
VTHO-USD,VeThor
AXL-USD,Axelar
AIC-USD,AI Companions
GIGA-USD,Gigachad
USDY-USD,Ondo US Dollar Yield
CTC-USD,Creditcoin
EBTC-USD,Ether.fi Staked BTC
FRXETH-USD,Frax Ether
ETHX-USD,Stader ETHx
1INCH-USD,1inch
TWT-USD,Trust Wallet
LUNC-USD,Terra Luna Classic
SWETH-USD,Swell Ethereum
NEW-USD,Newton Project
SNX-USD,Synthetix Network
VRSC-USD,Verus
QTUM-USD,Qtum
CWBTC-USD,cWBTC
JST-USD,JUST
ETHDYDX-USD,dYdX
TOSHI-USD,Toshi
SNEK-USD,Snek
BUSD-USD,Binance-Peg BUSD
WBTC-USD,Polygon Bridged WBTC (Polygon POS)
MOG-USD,Mog Coin
MX-USD,MX
TFUEL-USD,Theta Fuel
DASH-USD,Dash
LSETH-USD,Liquid Staked ETH
SFP-USD,SafePal
KSM-USD,Kusama
LPT-USD,Livepeer
SAFE-USD,Safe
ZRO-USD,LayerZero
SUPER-USD,SuperVerse
WOULD-USD,would
SWFTC-USD,SWFTCOIN
ASTR-USD,Astar
DOG-USD,Dog (Bitcoin)
BLUR-USD,Blur
FAI-USD,Freysa AI
GRASS-USD,Grass
SSOL-USD,Solayer Staked SOL
CKB-USD,Nervos Network
ROSE-USD,Oasis
HOT-USD,Holo
WEMIX-USD,WEMIX
SFRXETH-USD,Staked Frax Ether
WSTUSR-USD,Resolv wstUSR
USDT-USD,Mantle Bridged USDT (Mantle)
ZIL-USD,Zilliqa
XYO-USD,XYO Network
NOT-USD,Notcoin
BORG-USD,SwissBorg
OUSG-USD,OUSG
PTGC-USD,The Grays Currency
OSETH-USD,StakeWise Staked ETH
ARKM-USD,Arkham
BAT-USD,Basic Attention
AGENTFUN-USD,AgentFun.AI
TURBO-USD,Turbo
MEW-USD,cat in a dogs world
SATS-USD,SATS (Ordinals)
ZRX-USD,0x Protocol
DEUSD-USD,Elixir deUSD
ETHFI-USD,Ether.fi
BBSOL-USD,Bybit Staked SOL
MRS-USD,Metars Genesis
ETH-USD,Bridged Ether (StarkGate)
GAS-USD,Gas
BABYDOGE-USD,Baby Doge Coin
GLM-USD,Golem
ORDI-USD,ORDI
ATH-USD,Aethir
TRIBE-USD,Tribe
QGOLD-USD,Quorium
CPOOL-USD,Clearpool
FLUID-USD,Fluid
MOCA-USD,Moca Network
TRAC-USD,OriginTrail
USDA-USD,USDa
PLUME-USD,Plume
CELO-USD,Celo
ECOIN-USD,Ecoin
UXLINK-USD,UXLINK
SC-USD,Siacoin
MELANIA-USD,Melania Meme
SKL-USD,SKALE
POPCAT-USD,Popcat
SAVAX-USD,BENQI Liquid Staked AVAX
ANKR-USD,Ankr Network
MASK-USD,Mask Network
ETHW-USD,EthereumPoW
RVN-USD,Ravencoin
AIXBT-USD,aixbt by Virtuals
BTSE-USD,BTSE Token
ENJ-USD,Enjin Coin
BIO-USD,Bio Protocol
WOO-USD,WOO
ELF-USD,aelf
MPLX-USD,Metaplex
ABTC-USD,aBTC
T-USD,Threshold Network
DRIFT-USD,Drift Protocol
OSMO-USD,Osmosis
QUBIC-USD,Qubic
ZETA-USD,ZetaChain
WBETH-USD,Wrapped Beacon ETH
GOMINING-USD,GoMining Token
CET-USD,CoinEx
POLYX-USD,Polymesh
IOTX-USD,IoTeX
YFI-USD,yearn.finance
WETH-USD,Wrapped Ether (Mantle Bridge)
DAG-USD,Constellation
BZR-USD,Bazaars
IO-USD,io.net
TETH-USD,Treehouse ETH
GHO-USD,GHO
DCR-USD,Decred
RLB-USD,Rollbit Coin
ZEN-USD,Horizen
SUN-USD,Sun Token
WAVAX-USD,Wrapped AVAX
VANA-USD,Vana
AVAIL-USD,Avail
XEM-USD,NEM
PEAQ-USD,peaq
ACT-USD,Act I The AI Prophecy
ONT-USD,Ontology
KUB-USD,Bitkub Coin
GPRO-USD,GoldPro
ONE-USD,Harmony
NXM-USD,Nexus Mutual
XCH-USD,Chia
CVX-USD,Convex Finance
SPELL-USD,Spell
GMT-USD,GMT
LCX-USD,LCX
ARC-USD,AI Rig Complex
LUNA-USD,Terra
GMX-USD,GMX
$RCGE-USD,RCGE
STBTC-USD,Lorenzo stBTC
CHEEMS-USD,Cheems Token
VVV-USD,Venice Token
MEME-USD,Memecoin
HONEY-USD,Honey
SUSHI-USD,Sushi
KDA-USD,Kadena
WMTX-USD,World Mobile Token
PNUT-USD,Peanut the Squirrel
CETH-USD,cETH
DHN-USD,Dohrnii
LRC-USD,Loopring
GAL-USD,Galxe
ACH-USD,Alchemy Pay
KET-USD,Ket
CSPR-USD,Casper Network
ILV-USD,Illuvium
PAAL-USD,PAAL AI
HONEY-USD,Hivemapper
ANIME-USD,Animecoin
BICO-USD,Biconomy
USUAL-USD,Usual
MMX-USD,MMX
ETH+-USD,ETHPlus
DGB-USD,DigiByte
STPT-USD,STP
WETH-USD,L2 Standard Bridged WETH (Blast)
FLUX-USD,Flux
AMAPT-USD,Amnis Aptos
DAR-USD,Mines of Dalarnia
ME-USD,Magic Eden
MANTA-USD,Manta Network
METIS-USD,Metis
FXS-USD,Frax Share
ZEUS-USD,Zeus Network
VEE-USD,BLOCKv
XNO-USD,Nano
GRIFFAIN-USD,GRIFFAIN
FIDA-USD,Solana Name Service
AEVO-USD,Aevo
NOS-USD,Nosana
VELO-USD,Velo
HIVE-USD,Hive
BAND-USD,Band Protocol
HT-USD,Huobi
ACX-USD,Across Protocol
BOME-USD,BOOK OF MEME
SDEUSD-USD,Elixir Staked deUSD
SXP-USD,Solar
DESO-USD,Decentralized Social
UMA-USD,UMA
NEIRO-USD,Neiro
AMPL-USD,Ampleforth
GCB-USD,Global Commercial Business
ZIG-USD,ZIGChain
SOLO-USD,Sologenic
KAU-USD,Kinesis Gold
AUDIO-USD,Audius
G-USD,Gravity
ALEO-USD,ALEO
AGI-USD,Delysium
CGETH.HASHKEY-USD,cgETH Hashkey Cloud
ICX-USD,ICON
WAVES-USD,Waves
KMNO-USD,Kamino
USDC-USD,Cronos Bridged USDC (Cronos)
EURS-USD,STASIS EURO
COW-USD,CoW Protocol
GPS-USD,GoPlus Security
ANON-USD,Hey Anon
DYM-USD,Dymension
ELON-USD,Dogelon Mars
COTI-USD,COTI
ALT-USD,AltLayer
RPL-USD,Rocket Pool
APFC-USD,APF coin
KAG-USD,Kinesis Silver
$FARTBOY-USD,Fartboy
ZKJ-USD,Polyhedra Network
IAG-USD,Iagon
XPR-USD,XPR Network
GOAT-USD,Goatseus Maximus
PHA-USD,PHALA
TAI-USD,TARS AI
SNT-USD,Status
GLMR-USD,Moonbeam
USDC.E-USD,Arbitrum Bridged USDC (Arbitrum)
HEART-USD,Humans.ai
LSK-USD,Lisk
ZANO-USD,Zano
FX-USD,Function X
BAL-USD,Balancer
CGPT-USD,ChainGPT
VVS-USD,VVS Finance
OKT-USD,OKT Chain
REG-USD,RealToken Ecosystem Governance
OETH-USD,Origin Ether
VINE-USD,Vine
STRAX-USD,Stratis
SUPRA-USD,Supra
IQ-USD,IQ
ORCA-USD,Orca
EURC-USD,EURC
ZENT-USD,Zentry
TAIKO-USD,Taiko
NKYC-USD,NKYC Token
POWR-USD,Powerledger
BORA-USD,BORA
SKI-USD,Ski Mask Dog
RLUSD-USD,Ripple USD
OSOL-USD,OSOL
POND-USD,Marlin
WAXP-USD,WAX
UXP-USD,UXD Protocol
SCR-USD,Scroll
AGLD-USD,Adventure Gold
SONIC-USD,Sonic SVM
CORGIAI-USD,CorgiAI
ID-USD,SPACE ID
XVG-USD,Verge
CTF-USD,Crypto Trading Fund
GAMA-USD,GAMA Coin
GFI-USD,Goldfinch
BMX-USD,BitMart
USDZ-USD,Anzen USDz
COREUM-USD,Coreum
AGIX-USD,SingularityNET
JET-USD,Satoshi Airline
HMSTR-USD,Hamster Kombat
MLG-USD,360noscope420blazeit
ONG-USD,Ontology Gas
NPC-USD,Non-Playable Coin
WELL-USD,Moonwell
IOST-USD,IOST
EUTBL-USD,Spiko EU T-Bills Money Market Fund
ABT-USD,Arcblock
CFG-USD,Centrifuge
WETH-USD,L2 Standard Bridged WETH (Optimism)
BIGTIME-USD,Big Time
AGETH-USD,Kelp Gain
API3-USD,API3
LQTY-USD,Liquity
CHR-USD,Chromia
XRD-USD,Radix
0X0-USD,0x0.ai: AI Smart Contract
MVL-USD,MVL
BLAST-USD,Blast
DEVVE-USD,DevvE
ORBS-USD,Orbs
MYTH-USD,Mythos
RLP-USD,Resolv RLP
STEAKUSDC-USD,Steakhouse USDC Morpho Vault
PEOPLE-USD,ConstitutionDAO
WILD-USD,Wilder World
DAI-USD,Polygon PoS Bridged DAI (Polygon POS)
SGB-USD,Songbird
ZRC-USD,Zircuit
YGG-USD,Yield Guild Games
PROM-USD,Prom
LON-USD,Tokenlon
DKA-USD,dKargo
SFRAX-USD,Staked FRAX
RLC-USD,iExec RLC
PUFF-USD,Puff The Dragon
SLP-USD,Smooth Love Potion
ELON4AFD-USD,Elon4AfD
PUNDIX-USD,Pundi X
CVC-USD,Civic
TRB-USD,Tellor Tributes
WBTC-USD,Optimism Bridged WBTC (Optimism)
USDT-USD,Cronos Bridged USDT (Cronos)
PEPECOIN-USD,PepeCoin
WATC-USD,WATCoin
DOGS-USD,Dogs
ERG-USD,Ergo
METFI-USD,MetFi
USDL-USD,Lift Dollar
TEMPLE-USD,TempleDAO
NMT-USD,NetMind Token
CTSI-USD,Cartesi
BITCOIN-USD,HarryPotterObamaSonic10Inu (ETH)
AKUMA-USD,Akuma Inu
VANRY-USD,Vanar Chain
XVS-USD,Venus
SHISHA-USD,Shisha Coin [OLD]
OMNI-USD,Omni Network
ACS-USD,Access Protocol
WSTETH-USD,Bridged Wrapped stETH (Gnosis)
PEPU-USD,Pepe Unchained
MLK-USD,MiL.k Alliance
SYRUP-USD,Maple Finance
MED-USD,Medibloc
USDP-USD,Pax Dollar
KOGE-USD,KOGE
STEEM-USD,Steem
CARV-USD,CARV
CETUS-USD,Cetus Protocol
DENT-USD,Dent
C98-USD,Coin98
NMR-USD,Numeraire
JOE-USD,JOE
CRVUSD-USD,crvUSD
BWB-USD,Bitget Wallet Token
EZSOL-USD,Renzo Restaked SOL
SSV-USD,SSV Network
TNSR-USD,Tensor
PZETH-USD,Renzo Restaked LST
DF-USD,dForce
BONE-USD,Bone ShibaSwap
CULT-USD,Milady Cult Coin
SAGA-USD,Saga
OMI-USD,ECOMI
UNIETH-USD,Universal ETH
MEMDEX-USD,MEMDEX100
GAME-USD,GameBuild
TJRM-USD,Tajir Tech Hub
GEOD-USD,Geodnet
PURR-USD,Purr
EDU-USD,Open Campus
MTL-USD,Metal DAO
XAI-USD,Xai
SHX-USD,Stronghold
BANANA-USD,Banana Gun
ORAI-USD,Oraichain
AURORA-USD,Aurora
APEX-USD,ApeX
ALI-USD,Artificial Liquid Intelligence
VENOM-USD,Venom
WIN-USD,WINkLink
MOR-USD,MorpheusAI
TON-USD,Tokamak Network
B2M-USD,Bit2Me
HFUN-USD,Hypurr Fun
SWEAT-USD,Sweat Economy
USDG-USD,Global Dollar
WETH-USD,Avalanche Bridged WETH (Avalanche)
PCI-USD,Paycoin
OCEAN-USD,Ocean Protocol
ARK-USD,ARK
SEND-USD,Suilend
SCRT-USD,Secret
USDT0-USD,USDT0
APU-USD,Apu Apustaja
BADGER-USD,Badger
OSAK-USD,Osaka Protocol
SYN-USD,Synapse
BB-USD,BounceBit
UFD-USD,Unicorn Fart Dust
DOLA-USD,DOLA
PONKE-USD,PONKE
SLND-USD,Solend
FLIP-USD,Chainflip
USUALX-USD,USUALx
UFO-USD,UFO Token
BINK-USD,Big Dog Fink
BAN-USD,Comedian
SFUND-USD,Seedify.fund
REQ-USD,Request
KNC-USD,Kyber Network Crystal
EUL-USD,Euler
MAGIC-USD,Treasure
SDEX-USD,SmarDex
DEGEN-USD,Degen (Base)
CAT-USD,Simon's Cat
ACA-USD,Acala
CELR-USD,Celer Network
FWOG-USD,Fwog
BTG-USD,Bitcoin Gold
MOVR-USD,Moonriver
FUEL-USD,Fuel Network
ARDR-USD,Ardor
DAO-USD,DAO Maker
WETH-USD,Ronin Bridged WETH (Ronin)
BOBA-USD,Boba Network
CTK-USD,Shentu
VELO-USD,Velodrome Finance
MURA-USD,Murasaki
USDC-USD,zkSync Bridged USDC (zkSync)
USDX-USD,USDX
USTBL-USD,Spiko US T-Bills Money Market Fund
BC-USD,BCGame Coin
MOODENG-USD,Moo Deng
AITECH-USD,Solidus Ai Tech
FBTC-USD,Ignition FBTC
BNT-USD,Bancor Network
ALICE-USD,My Neighbor Alice
MIGGLES-USD,Mister Miggles
OX-USD,OX Coin
LMT-USD,LIMITUS
ALU-USD,Altura
SURE-USD,inSure DeFi
DODO-USD,DODO
T99-USD,Tethereum
OLAS-USD,Autonolas
CLV-USD,Clover Finance
COCO-USD,COCO COIN
KEEP-USD,Keep Network
ANDY-USD,ANDY ETH
AXGT-USD,AxonDAO Governance Token
USTC-USD,TerraClassicUSD
BUSD-USD,BUSD
L3-USD,Layer3
ANVL-USD,Anvil
ZBCN-USD,Zebec Network
AZERO-USD,Aleph Zero
PEAS-USD,Peapods Finance
HUNT-USD,Hunt
USDC.E-USD,Standard Bridged USDC.e (Optimism)
QKC-USD,QuarkChain
ELG-USD,Escoin
CBK-USD,Cobak
LUSD-USD,Liquity USD
LOFI-USD,LOFI
ALPH-USD,Alephium
TRUAPT-USD,TruFin Staked APT
MOBILE-USD,Helium Mobile
EWT-USD,Energy Web
WZRD-USD,Bitcoin Wizards
MBX-USD,MARBLEX
H2O-USD,H2O Dao
GL-BTC-USD,General-Layer BTC
RSC-USD,ResearchCoin
COOKIE-USD,Cookie DAO
AUCTION-USD,Bounce
SPA-USD,Sperax
METAL-USD,Metal Blockchain
GUSD-USD,Gemini Dollar
MCDULL-USD,McDull (Meme)
HIFI-USD,Hifi Finance
VCNT-USD,ViciCoin
DUSK-USD,DUSK
NEURAL-USD,NEURALAI
HPO-USD,Hippocrat
PRO-USD,Propy
NEON-USD,Neon
LOOM-USD,Loom Network (NEW)
M87-USD,MESSIER
WNXM-USD,Wrapped NXM
INF-USD,Sanctum Infinity
MIM-USD,Magic Internet Money (Ethereum)
RIF-USD,RSK Infrastructure Framework
IXS-USD,IX Swap
PIN-USD,PinLink
STRIKE-USD,STRIKE
MWETH-USD,Moonwell Flagship ETH (Morpho Vault)
NCT-USD,PolySwarm
CYBER-USD,CYBER
RARE-USD,SuperRare
OXT-USD,Orchid Protocol
DIA-USD,DIA
DBR-USD,deBridge
STG-USD,Stargate Finance
HFT-USD,Hashflow
TLOS-USD,Telos
TRU-USD,TrueFi
PRQ-USD,PARSIQ
BEL-USD,Bella Protocol
NTRN-USD,Neutron
BASEDAI-USD,BasedAI
SYS-USD,Syscoin
QI-USD,BENQI
ANYONE-USD,ANyONe Protocol
SUSDA-USD,sUSDa
CXT-USD,Covalent X Token
VR-USD,Victoria VR
SOLV-USD,Solv Protocol
GPU-USD,NodeAI
M3M3-USD,M3M3
HASHAI-USD,HashAI
FIUSD-USD,Sygnum FIUSD Liquidity Fund
TOKEN-USD,TokenFi
NFTX-USD,NFTX
FMC-USD,Fimarkcoin.com
XMW-USD,Morphware
SLERF-USD,Slerf
XPLA-USD,XPLA
PIXEL-USD,Pixels
RSS3-USD,RSS3
TRUMATIC-USD,TruFin Staked MATIC
GME-USD,GME (Ethereum)
ACT-USD,Acet
AVAX-USD,Binance-Peg Avalanche
OGN-USD,Origin Token
LIT-USD,Litentry
RBNT-USD,Redbelly Network
WBTC-USD,Avalanche Bridged WBTC (Avalanche)
HIPPO-USD,sudeng
WBTC-USD,Cronos Bridged WBTC (Cronos)
LAT-USD,PlatON Network
BFC-USD,Bifrost
ICE-USD,Ice Open Network
QANX-USD,QANplatform
USD+-USD,Overnight.fi USD+
STMX-USD,StormX
USDM-USD,Mountain Protocol USD
NYM-USD,Nym
NFP-USD,NFPrompt
MBL-USD,MovieBloc
STRIKE-USD,Strike
CUDOS-USD,Cudos
USDC.E-USD,Avalanche Bridged USDC (Avalanche)
VITA-USD,VitaDAO
STORJ-USD,Storj
SNAI-USD,SwarmNode.ai
TKP-USD,TOKPIE
DINERO-USD,Dinero
NKN-USD,NKN
GODS-USD,Gods Unchained
ZEREBRO-USD,Zerebro
𝜫-USD,PiCoin
PYR-USD,Vulcan Forged
GGP-USD,GoGoPool
SHFL-USD,Shuffle
PUFFER-USD,Puffer
SHDW-USD,Shadow Token
SAAS-USD,SaaSGo
SPEC-USD,Spectral
FORT-USD,Forta
RACA-USD,Radio Caca
LYX-USD,LUKSO
MPL-USD,Maple
GNS-USD,Gains Network
TORN-USD,Tornado Cash
LUMIA-USD,Lumia
CRE-USD,Carry
FORTH-USD,Ampleforth Governance
META-USD,Metadium
GEAR-USD,Gearbox
MERL-USD,Merlin Chain
PLT-USD,Poollotto.finance
PEP-USD,Pepecoin
LMWR-USD,LimeWire
UQC-USD,Uquid Coin
ZEDXION-USD,Zedxion
A8-USD,Ancient8
MNDE-USD,Marinade
MAPO-USD,MAP Protocol
EDGE-USD,Edge
NPXS-USD,Pundi X [OLD]
MAV-USD,Maverick Protocol
ALPHA-USD,Stella
WXRP-USD,Wrapped XRP
ZCX-USD,Unizen
EURCV-USD,EUR CoinVertible
PHB-USD,Phoenix
SBD-USD,Steem Dollars
RAD-USD,Radworks
ACE-USD,Fusionist
BTU-USD,BTU Protocol
DOGE-USD,Department Of Government Efficiency
XTER-USD,Xterio
ETN-USD,Electroneum
KUJI-USD,Kujira
F-USD,SynFutures
ATA-USD,Automata
DEP-USD,DEAPCOIN
WHITE-USD,Whiteheart
HOOD-USD,Robinhood
HOOK-USD,Hooked Protocol
LAINESOL-USD,Laine Staked SOL
WOLF-USD,LandWolf
SOLVBTC.CORE-USD,Solv Protocol SolvBTC.CORE
SAUCE-USD,SaucerSwap
MBOX-USD,Mobox
PNG-USD,Pangolin
FLAY-USD,Flayer
STTON-USD,bemo Staked TON
ELA-USD,Elastos
ALOT-USD,Dexalot
SX-USD,SX Network
LADYS-USD,Milady Meme Coin
EL-USD,ELYSIA
METH-USD,Manta mETH
COQ-USD,Coq Inu
LEVER-USD,LeverFi
ORDER-USD,Orderly Network
RAIL-USD,Railgun
RETARDIO-USD,RETARDIO
MOBY-USD,Moby AI
CLUSTR-USD,Clustr
DG-USD,DeGate
MYRIA-USD,Myria
AERGO-USD,Aergo
CTXC-USD,Cortex
MIN-USD,Minswap
RUSD-USD,Reservoir rUSD
OMG-USD,OMG Network
BAKE-USD,BakerySwap
REKT-USD,Rekt
JETT-USD,JETT CRYPTO
FCT-USD,Firmachain
AQT-USD,Alpha Quark
MATICX-USD,Stader MaticX
SWARMS-USD,Swarms
LOCK-USD,Houdini Swap
SAI-USD,Sai
OAS-USD,Oasys
AIAT-USD,AI Analysis Token
